ID,Total_Screentime,Average_Total_Screentime
1000447,8.5,19.36
1000448,15.5,19.36
1000449,19.0,19.36
1000450,5.5,19.36
1000451,21.0,19.36
1000452,14.5,19.36
1000453,13.0,19.36
1000454,28.0,19.36
1000455,24.0,19.36
1000456,12.5,19.36
1000457,6.5,19.36
1000458,27.0,19.36
1000459,15.5,19.36
1000460,34.5,19.36
1000461,16.0,19.36
1000462,33.0,19.36
1000463,10.0,19.36
1000464,6.0,19.36
1000465,13.5,19.36
1000466,17.0,19.36
1000467,20.5,19.36
1000468,24.5,19.36
1000469,33.5,19.36
1000470,16.5,19.36
1000471,11.5,19.36
1000472,23.0,19.36
1000473,16.0,19.36
1000474,29.0,19.36
1000475,13.5,19.36
1000476,25.0,19.36
1000477,44.0,19.36
1000478,29.0,19.36
1000479,26.5,19.36
1000480,23.0,19.36
1000482,35.0,19.36
1000483,2.0,19.36
1000484,17.5,19.36
1000485,19.0,19.36
1000486,11.5,19.36
1000487,27.0,19.36
1000488,38.5,19.36
1000489,22.0,19.36
1000490,4.0,19.36
1000491,15.0,19.36
1000492,4.5,19.36
1000493,29.0,19.36
1000494,21.0,19.36
1000495,21.0,19.36
1000496,14.0,19.36
1000497,24.0,19.36
1000498,42.0,19.36
1000500,28.0,19.36
1000501,32.0,19.36
1000502,22.0,19.36
1000503,32.0,19.36
1000504,34.0,19.36
1000505,10.0,19.36
1000506,27.0,19.36
1000507,17.0,19.36
1000508,26.0,19.36
1000509,18.0,19.36
1000510,15.0,19.36
1000511,20.5,19.36
1000512,48.0,19.36
1000513,12.0,19.36
1000514,23.0,19.36
1000515,35.0,19.36
1000516,15.0,19.36
1000517,33.0,19.36
1000518,14.0,19.36
1000519,25.5,19.36
1000520,15.0,19.36
1000521,42.0,19.36
1000522,30.0,19.36
1000523,8.0,19.36
1000524,17.5,19.36
1000525,26.0,19.36
1000526,20.5,19.36
1000527,14.0,19.36
1000528,10.0,19.36
1000529,20.5,19.36
1000530,29.0,19.36
1000531,21.0,19.36
1000532,14.5,19.36
1000533,10.0,19.36
1000534,39.0,19.36
1000535,26.0,19.36
1000536,18.5,19.36
1000538,24.0,19.36
1000539,14.5,19.36
1000540,23.0,19.36
1000541,11.0,19.36
1000542,43.0,19.36
1000543,17.0,19.36
1000544,26.0,19.36
1000545,20.0,19.36
1000546,20.5,19.36
1000547,26.5,19.36
1000548,15.5,19.36
1000549,26.0,19.36
1000550,36.0,19.36
1000551,20.0,19.36
1000552,16.0,19.36
1000553,11.0,19.36
1000555,8.5,19.36
1000556,32.0,19.36
1000557,21.0,19.36
1000558,23.0,19.36
1000559,35.0,19.36
1000560,36.0,19.36
1000561,38.0,19.36
1000562,15.0,19.36
1000563,21.0,19.36
1000564,19.0,19.36
1000565,22.0,19.36
1000567,33.0,19.36
1000568,24.0,19.36
1000569,28.0,19.36
1000570,19.0,19.36
1000571,27.0,19.36
1000572,13.0,19.36
1000573,20.0,19.36
1000574,37.0,19.36
1000575,22.0,19.36
1000576,27.0,19.36
1000577,14.5,19.36
1000578,37.0,19.36
1000579,17.0,19.36
1000580,27.0,19.36
1000581,13.0,19.36
1000582,17.0,19.36
1000584,40.0,19.36
1000585,21.5,19.36
1000586,15.0,19.36
1000587,25.5,19.36
1000588,16.0,19.36
1000589,43.5,19.36
1000590,32.0,19.36
1000591,39.0,19.36
1000592,29.0,19.36
1000593,12.5,19.36
1000594,9.0,19.36
1000595,7.5,19.36
1000596,10.5,19.36
1000597,19.5,19.36
1000598,10.5,19.36
1000599,6.0,19.36
1000601,9.0,19.36
1000602,20.0,19.36
1000604,25.0,19.36
1000605,34.0,19.36
1000606,35.5,19.36
1000607,16.0,19.36
1000608,17.5,19.36
1000609,25.0,19.36
1000610,7.0,19.36
1000611,27.0,19.36
1000612,32.0,19.36
1000613,30.5,19.36
1000614,18.0,19.36
1000615,31.0,19.36
1000616,20.0,19.36
1000617,6.0,19.36
1000618,40.5,19.36
1000619,27.0,19.36
1000620,15.0,19.36
1000621,11.0,19.36
1000622,35.0,19.36
1000623,25.0,19.36
1000624,20.5,19.36
1000625,15.5,19.36
1000626,26.0,19.36
1000627,21.0,19.36
1000628,7.0,19.36
1000629,28.0,19.36
1000630,24.0,19.36
1000631,5.0,19.36
1000632,36.0,19.36
1000633,26.5,19.36
1000634,17.0,19.36
1000635,7.0,19.36
1000636,20.0,19.36
1000637,42.0,19.36
1000638,15.0,19.36
1000639,25.5,19.36
1000640,22.0,19.36
1000641,23.0,19.36
1000642,15.0,19.36
1000643,22.5,19.36
1000644,19.0,19.36
1000645,17.0,19.36
1000646,27.0,19.36
1000647,19.0,19.36
1000648,11.0,19.36
1000649,35.5,19.36
1000650,15.5,19.36
1000651,14.0,19.36
1000652,21.5,19.36
1000653,24.0,19.36
1000654,16.0,19.36
1000655,27.0,19.36
1000656,11.0,19.36
1000657,41.0,19.36
1000658,22.5,19.36
1000659,16.5,19.36
1000660,32.5,19.36
1000661,17.0,19.36
1000662,30.5,19.36
1000663,30.0,19.36
1000664,16.0,19.36
1000665,9.5,19.36
1000666,20.0,19.36
1000667,15.5,19.36
1000668,11.0,19.36
1000669,15.5,19.36
1000670,20.5,19.36
1000671,13.5,19.36
1000672,8.5,19.36
1000673,16.0,19.36
1000675,16.5,19.36
1000676,9.5,19.36
1000677,16.5,19.36
1000678,25.5,19.36
1000679,36.0,19.36
1000680,17.0,19.36
1000682,30.5,19.36
1000683,25.5,19.36
1000684,25.0,19.36
1000685,17.0,19.36
1000686,14.5,19.36
1000687,20.0,19.36
1000688,26.0,19.36
1000689,29.5,19.36
1000690,28.0,19.36
1000692,23.0,19.36
1000693,22.0,19.36
1000694,12.0,19.36
1000695,41.0,19.36
1000696,16.0,19.36
1000697,28.0,19.36
1000698,21.0,19.36
1000699,17.5,19.36
1000700,20.0,19.36
1000701,26.5,19.36
1000702,14.0,19.36
1000703,9.0,19.36
1000704,9.0,19.36
1000705,5.0,19.36
1000706,14.0,19.36
1000707,11.0,19.36
1000708,25.0,19.36
1000709,8.5,19.36
1000710,25.5,19.36
1000711,21.5,19.36
1000712,14.5,19.36
1000713,5.0,19.36
1000714,18.0,19.36
1000715,28.0,19.36
1000716,11.0,19.36
1000717,20.0,19.36
1000718,28.0,19.36
1000719,10.0,19.36
1000720,11.5,19.36
1000721,3.5,19.36
1000722,9.5,19.36
1000723,7.0,19.36
1000724,15.0,19.36
1000725,21.0,19.36
1000726,30.0,19.36
1000727,8.5,19.36
1000728,24.0,19.36
1000729,28.0,19.36
1000730,28.0,19.36
1000731,23.5,19.36
1000732,15.0,19.36
1000734,23.0,19.36
1000735,16.0,19.36
1000737,23.5,19.36
1000738,11.5,19.36
1000739,27.5,19.36
1000740,23.0,19.36
1000741,7.0,19.36
1000743,19.0,19.36
1000744,10.0,19.36
1000745,11.0,19.36
1000746,19.0,19.36
1000747,13.5,19.36
1000748,11.5,19.36
1000749,20.0,19.36
1000750,11.0,19.36
1000751,23.0,19.36
1000752,22.0,19.36
1000753,15.5,19.36
1000754,19.5,19.36
1000755,19.0,19.36
1000756,30.5,19.36
1000757,14.0,19.36
1000758,13.0,19.36
1000759,24.5,19.36
1000760,19.0,19.36
1000761,15.0,19.36
1000762,18.0,19.36
1000763,7.5,19.36
1000764,13.5,19.36
1000765,38.0,19.36
1000766,7.0,19.36
1000767,15.5,19.36
1000768,9.0,19.36
1000769,19.5,19.36
1000770,28.0,19.36
1000771,11.0,19.36
1000772,35.5,19.36
1000774,6.5,19.36
1000775,27.5,19.36
1000776,5.0,19.36
1000777,4.0,19.36
1000778,19.0,19.36
1000779,24.0,19.36
1000780,29.0,19.36
1000781,13.5,19.36
1000782,15.0,19.36
1000784,27.0,19.36
1000785,38.0,19.36
1000786,42.5,19.36
1000787,29.0,19.36
1000788,28.0,19.36
1000789,11.5,19.36
1000790,25.5,19.36
1000791,19.0,19.36
1000793,25.0,19.36
1000794,18.0,19.36
1000795,30.0,19.36
1000796,11.5,19.36
1000797,28.0,19.36
1000798,23.0,19.36
1000799,12.0,19.36
1000800,18.0,19.36
1000801,13.0,19.36
1000802,12.0,19.36
1000803,27.0,19.36
1000804,13.5,19.36
1000805,38.0,19.36
1000806,13.0,19.36
1000807,20.5,19.36
1000808,11.0,19.36
1000809,9.0,19.36
1000810,19.5,19.36
1000811,18.5,19.36
1000812,14.5,19.36
1000813,23.0,19.36
1000814,24.0,19.36
1000815,29.0,19.36
1000816,13.5,19.36
1000817,14.5,19.36
1000818,18.0,19.36
1000819,23.0,19.36
1000820,15.0,19.36
1000821,22.0,19.36
1000822,27.5,19.36
1000823,20.5,19.36
1000824,19.0,19.36
1000825,14.5,19.36
1000826,18.0,19.36
1000827,34.0,19.36
1000828,24.0,19.36
1000829,11.0,19.36
1000830,18.0,19.36
1000831,11.5,19.36
1000832,25.0,19.36
1000833,15.0,19.36
1000834,21.0,19.36
1000835,30.0,19.36
1000836,11.5,19.36
1000837,13.0,19.36
1000838,20.0,19.36
1000839,19.0,19.36
1000840,17.0,19.36
1000841,14.0,19.36
1000842,11.5,19.36
1000843,16.5,19.36
1000844,2.5,19.36
1000845,18.5,19.36
1000846,17.0,19.36
1000847,9.5,19.36
1000848,15.0,19.36
1000849,18.5,19.36
1000850,15.0,19.36
1000851,28.5,19.36
1000852,31.0,19.36
1000853,31.0,19.36
1000854,21.0,19.36
1000855,8.5,19.36
1000856,20.0,19.36
1000857,14.5,19.36
1000858,24.0,19.36
1000859,25.0,19.36
1000860,22.5,19.36
1000861,28.0,19.36
1000862,27.0,19.36
1000863,25.0,19.36
1000864,35.0,19.36
1000865,18.5,19.36
1000866,39.0,19.36
1000867,18.5,19.36
1000868,16.5,19.36
1000869,21.0,19.36
1000870,6.0,19.36
1000871,43.0,19.36
1000872,33.0,19.36
1000873,12.5,19.36
1000874,14.0,19.36
1000875,20.0,19.36
1000876,17.5,19.36
1000877,39.0,19.36
1000878,14.5,19.36
1000879,30.0,19.36
1000880,6.5,19.36
1000881,10.5,19.36
1000882,12.0,19.36
1000883,17.0,19.36
1000884,17.5,19.36
1000885,25.5,19.36
1000886,9.5,19.36
1000887,5.5,19.36
1000888,11.0,19.36
1000889,15.5,19.36
1000890,16.5,19.36
1000891,7.5,19.36
1000892,10.0,19.36
1000893,9.0,19.36
1000894,19.0,19.36
1000895,33.0,19.36
1000896,27.0,19.36
1000897,11.0,19.36
1000898,16.0,19.36
1000899,9.0,19.36
1000900,16.0,19.36
1000901,26.0,19.36
1000902,6.0,19.36
1000903,26.5,19.36
1000904,7.0,19.36
1000905,11.0,19.36
1000906,5.0,19.36
1000907,33.5,19.36
1000908,24.5,19.36
1000909,28.0,19.36
1000910,13.5,19.36
1000911,15.5,19.36
1000912,11.0,19.36
1000913,16.0,19.36
1000914,29.0,19.36
1000915,12.0,19.36
1000916,12.0,19.36
1000917,18.5,19.36
1000918,12.0,19.36
1000919,26.5,19.36
1000920,11.0,19.36
1000921,13.0,19.36
1000922,37.0,19.36
1000923,16.0,19.36
1000924,11.5,19.36
1000925,19.5,19.36
1000926,19.0,19.36
1000927,18.0,19.36
1000928,10.0,19.36
1000929,22.0,19.36
1000930,16.0,19.36
1000931,7.5,19.36
1000933,7.5,19.36
1000934,6.0,19.36
1000935,17.0,19.36
1000936,10.0,19.36
1000937,12.0,19.36
1000938,54.0,19.36
